Title,Date,Rating,Review
Perfect smash burger,2023-05-23,5,"Really impressed with this order. The burger had a great sear, plenty of flavor, and just the right amount of sauce. I liked the lettuce and tomato most, and even the lemonade was better than expected. I'd happily come back. I also appreciated that the order was accurate."
Classic done right,2021-03-05,5,"This was one of the better burgers I've had lately. The plant-based patty tasted fresh and rich, and the pepper jack, bacon, pickles worked really well together on the soft bun. Everything came out hot, and the staff was helpful from start to finish. Packaging kept things together better than expected."
Cheesy in the best way,2023-11-03,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the avocado, pepper jack, and the sweet potato fries was decent too. Not perfect, but definitely enjoyable. I had to add ketchup at home to wake it up a bit."
Not worth the price,2022-09-26,1,"One of the weaker burger meals I've had. The meat tasted off, the toppings were sloppy, and the sandwich fell apart immediately. Even the no side couldn't make up for it. I also appreciated that the order was accurate."
Not worth the price,2021-07-12,2,"I wanted to like this more, but it was disappointing. The smash patty was cold, and the sesame bun fell apart quickly. The pepper jack, jalapeños, special sauce couldn't save it, and service felt disorganized. Portion size was fair for the price."
Not bad,2022-02-09,3,"Not bad, but not something I'd go out of my way for. The burger was acceptable and filling, though it needed more seasoning. The grilled mushrooms, avocado helped, but overall it felt middle-of-the-road. Packaging kept things together better than expected."
Pretty decent overall,2024-10-28,3,"The burger was okay. The smash patty had decent flavor, but the brioche bun got soggy halfway through. The avocado were fine, and the no side was average. Nothing terrible, just not memorable. Portion size was fair for the price."
Fast service and tasty food,2023-07-29,4,"Good burger overall. The smash patty was perfectly seared and the melted cheddar, crispy onions, lettuce and tomato tasted fresh. The potato bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Portion size was fair for the price."
Perfect smash burger,2021-10-14,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. Portion size was fair for the price."
Average burger experience,2024-12-25,3,"Pretty average experience at the drive-thru. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was quick. Packaging kept things together better than expected."
Not worth the price,2021-05-31,2,"I wanted to like this more, but it was disappointing. The double patty was dry, and the potato bun fell apart quickly. The melted cheddar, special sauce couldn't save it, and service felt disorganized. I had to add ketchup at home to wake it up a bit."
Fast service and tasty food,2024-02-29,5,"Stopped by the airport branch with friends and the burger was excellent. The thick patty was juicy, the sesame bun held everything together, and the pickles, special sauce, bacon added a lot of flavor. Service was attentive and the milkshake rounded out the meal nicely. Portion size was fair for the price."
Mixed feelings,2021-12-12,3,"Pretty average experience at the mall location. The burger looked great, but the taste didn't fully deliver. Some bites were good, others felt a little plain. Service was efficient. Portion size was fair for the price."
Pretty decent overall,2024-10-06,3,"The burger was okay. The double patty had decent flavor, but the potato bun got soggy halfway through. The grilled mushrooms, bacon were fine, and the no side was average. Nothing terrible, just not memorable. The fries could have been crispier."
Exactly what I wanted,2022-11-13,5,"This was one of the better burgers I've had lately. The single patty tasted fresh and tender, and the grilled mushrooms, lettuce and tomato, jalapeños worked really well together on the toasted bun. Everything came out hot, and the staff was attentive from start to finish. Portion size was fair for the price."
Highly recommend,2024-03-26,4,"A solid meal late at night. The burger had good flavor and a nice texture, though it could have used a little more sauce. Still, the ingredients tasted fresh and the overall experience was positive. The fries could have been crispier."
Perfect smash burger,2025-08-06,4,"Pleasant surprise. The burger came out hot and the seasoning was solid. I especially liked the crispy onions, and the lemonade was decent too. Not perfect, but definitely enjoyable. Packaging kept things together better than expected."
Juicy and satisfying,2022-11-22,4,"Good burger overall. The plant-based patty was juicy and the avocado, melted cheddar tasted fresh. The toasted bun was slightly messy, but the flavor was there. Service was efficient and I'd order it again. Packaging kept things together better than expected."
Would order again,2024-10-20,4,"Good burger overall. The thick patty was crispy-edged and the lettuce and tomato tasted fresh. The sesame bun was slightly messy, but the flavor was there. Service was helpful and I'd order it again. I also appreciated that the order was accurate."
